rus Film Rel_Age Rel_Sex Rel_Power Rel_Circle S_Class H_Class S_Age H_Age Rel_Class Before68 Others Office S_Sex H_Sex Place
91 vy Hotel Same M_M Equal Str Lower Upper Middle Middle Higher Yes Yes No M M Europe
92 vy Hotel Older M_M Equal Acq Middle Middle Middle Old Higher No No No M M Europe
93 vy Hotel Same M_M Greater Str Upper Middle Middle Middle Lower Yes Yes No M M Europe
94 vy Hotel Older M_F Greater Rom Lower Upper Middle Old Higher Yes Yes No M F Europe
95 vy Hotel Younger F_M Less Rom Upper Lower Old Middle Lower Yes Yes No F M Europe
96 ty Hotel Younger M_M Less Str Lower Lower Middle Young Lower Yes No No M M Europe
97 vy Hotel Same M_M Less Work Lower Middle Middle Middle Higher Yes Yes No M M Europe
98 vy Hotel Older M_M Greater Work Lower Lower Young Middle Higher Yes No No M M Europe
99 vy Hotel Older M_M Less Acq Upper Lower Young Middle Lower Yes Yes No M M Europe
100 ty Inception Younger M_M Less Work Upper Other Old Middle Other No No No M M Global
101 ty Inception Older F_M Greater Fam Middle Other Child Middle Other No Yes No F M Global
102 ty Inception Younger M_F Less Fam Other Middle Middle Child Other No No No M F Global
103 ty Inception Older M_M Equal Fam Other Middle Middle Old Other No No Yes M M Global
104 ty Inception Younger M_M Equal Fam Middle Other Old Middle Other No No Yes M M Global
105 ty Inception Younger M_F Less Acq Middle Middle Old Young Equal No Yes Yes M F Global
106 ty Inception Younger M_F Equal Str Other Middle Middle Young Other No No No M F Global
107 vy Inception Older F_M Equal Str Middle Other Young Middle Other No No No F M Global
108 ty Inception Younger M_F Equal Work Other Middle Middle Young Other No Yes No M F Global
109 ty Inception Same M_M Equal Fri Other Other Middle Middle Equal No Yes No M M Global
110 ty Inception Same M_M Equal Fri Other Other Middle Middle Equal No Yes No M M Global
112 ty Inception Same M_M Equal Str Other Other Middle Middle Equal No Yes No M M Global
113 vy Inception Same M_M Equal Acq Other Other Middle Middle Equal No Yes No M M Global
114 vy Inception Younger M_M Equal Str Other Other Old Middle Equal No Yes No M M Global
115 ty Inception Younger F_F Equal Acq Middle Middle Middle Middle Equal No No No F F Global
116 vy Inception Same M_M Equal Str Middle Upper Middle Middle Higher No Yes No M M Global
117 ty Inception Same M_M Equal Str Lower Middle Middle Middle Higher No Yes No M M Global
118 vy Inception Same M_M Equal Str Upper Middle Middle Middle Lower No Yes No M M Global
119 vy Inception Same M_M Less Str Upper Lower Middle Middle Lower No Yes No M M Global
120 ty Inception Same M_M Less Acq Other Upper Middle Middle Other No Yes No M M Global
121 vy Inception Older M_M Equal Fam Upper Upper Middle Old Equal No No No M M Global
122 vy Inception Older M_M Equal Acq Other Upper Middle Middle Other No Yes No M M Global
123 ty Inception Younger M_M Equal Fam Upper Upper Old Middle Equal No No No M M Global
124 vy Inception Same M_M Equal Str Other Upper Middle Middle Other No No No M M Global
125 vy Inception Same M_M Equal Str Upper Other Middle Middle Other No No No M M Global
126 vy Inception Same F_M Equal Work Lower Other Middle Middle Other No Yes No F M Global
127 ty Inception Same M_M Equal Work Other Other Middle Middle Other No No No M M Global
128 ty Inception Same M_F Equal Fam Other Middle Middle Middle Other No No No M F Global
129 ty Inception Same F_M Equal Fam Middle Other Middle Middle Other No No No F M Global
130 ty Inception Same M_M Equal Work Other Other Middle Middle Equal No No No M M Global
131 ty Inception Younger M_M Less Fam Middle Middle Middle Child Equal No No No M M Global
132 ty Inception Older M_M Greater Fam Middle Middle Child Middle Equal No Yes No M M Global
133 vy IronLady Older F_F Greater Acq Middle Upper Middle Old Higher No No No F F UK
134 vy IronLady Younger F_F Equal Acq Upper Middle Middle Young Lower Yes Yes No F F UK
135 vy IronLady Same M_F Equal Fri Upper Upper Old Old Equal No Yes No M F UK
136 vy IronLady Older F_F Equal Acq Upper Upper Middle Old Equal No Yes No F F UK
137 vy IronLady Younger F_F Equal Acq Upper Middle Old Middle Lower No Yes No F F UK
138 ty IronLady Younger M_F Equal Rom Upper Middle Young Young Lower Yes No No M F UK
139 ty IronLady Older F_M Equal Rom Middle Upper Young Young Higher Yes No No F M UK
141 vy IronLady Same M_F Equal Work Upper Upper Middle Middle Equal No Yes Yes M F UK
142 vy IronLady Same M_F Equal Work Upper Upper Middle Middle Equal No Yes Yes M F UK
143 vy IronLady Older M_F Equal Acq Middle Upper Middle Old Higher No No Yes M F UK
144 vy IronLady Same F_M Equal Work Middle Middle Middle Middle Equal No Yes No F M UK
145 vy IronLady Younger F_M Equal Acq Upper Middle Old Middle Lower No No Yes F M UK
146 vy IronLady Same F_M Less Work Upper Upper Middle Middle Lower No Yes Yes F M UK
147 vy IronLady Same F_F Less Acq Upper Lower Middle Middle Lower No Yes Yes F F UK
148 vy IronLady Same M_F Greater Work Upper Upper Middle Middle Higher No Yes Yes M F UK
149 ty IronLady Younger F_M Equal Fam Upper Upper Old Middle Equal No No No F M UK
150 vy IronLady Same F_M Equal Work Upper Upper Middle Middle Equal No Yes Yes F M UK
152 ty IronLady Same M_F Equal Fam Upper Upper Old Old Equal No No No M F UK
153 vy IronLady Older F_F Equal Work Middle Upper Young Old Higher No No No F F UK
154 ty IronLady Same F_F Equal Fri Middle Middle Young Young Equal Yes Yes No F F UK
155 ty IronLady Same F_M Equal Fam Upper Upper Old Old Equal No No No F M UK
156 ty IronLady Younger F_F Equal Fam Upper Upper Old Middle Equal No No No F F UK
157 ty IronLady Older F_F Equal Fam Upper Upper Middle Old Equal No No No F F UK
158 vy Game Older M_M Equal Str Middle Middle Middle Middle Equal Yes Yes No M M UK
160 vy Game Same M_M Equal Acq Middle Middle Middle Middle Higher Yes Yes No M M UK
161 vy Game Younger M_M Less Str Upper Middle Old Young Lower Yes No Yes M M UK
162 vy Game Older M_M Greater Work Middle Upper Young Old Higher Yes No Yes M M UK
163 vy Game Older F_M Greater Work Middle Upper Middle Old Higher Yes Yes Yes F M UK
164 vy Game Younger M_M Equal Work Middle Middle Middle Young Equal Yes Yes Yes M M UK
165 ty Game Same M_M Equal Work Middle Middle Young Young Equal Yes Yes Yes M M UK
166 ty Game Same M_M Equal Work Middle Middle Young Young Equal Yes Yes Yes M M UK
167 ty Game Same M_M Equal Acq Middle Middle Child Child Equal Yes No Yes M M UK
168 vy Game Same M_F Equal Str Middle Middle Young Young Equal Yes Yes Yes M F UK
169 vy Game Same F_M Equal Str Middle Middle Young Young Equal Yes Yes Yes F M UK
170 vy Game Same M_F Equal Acq Middle Middle Young Young Equal Yes Yes Yes M F UK
171 vy Game Same F_M Equal Acq Middle Middle Young Young Equal Yes Yes Yes F M UK
172 ty Game Same M_M Greater Work Middle Middle Young Young Equal Yes Yes Yes M M UK
173 ty Game Same M_M Greater Work Middle Middle Young Young Equal Yes Yes Yes M M UK
174 vy Game Same M_F Equal Str Middle Middle Young Young Equal Yes Yes No M F UK
175 ty Game Same F_F Equal Fri Middle Middle Young Young Equal Yes Yes No F F UK
176 vy Game Same M_F Equal Str Middle Middle Young Young Equal Yes Yes No M F UK
177 ty Game Same M_F Equal Str Middle Middle Young Young Equal Yes Yes No M F UK
178 vy Game Older M_M Greater Acq Middle Middle Child Middle Equal Yes No Yes M M UK
179 ty Game Younger M_M Less Acq Middle Middle Middle Child Equal Yes No Yes M M UK
180 vy Bridge Same M_M Less Str Middle Middle Middle Middle Lower Yes Yes No M M Global
181 vy Bridge Same M_M Greater Str Middle Middle Middle Middle Higher Yes Yes No M M Global
182 vy Bridge Same M_M Equal Work Middle Middle Middle Middle Equal Yes No No M M Global
183 vy Bridge Same M_M Equal Work Middle Middle Middle Middle Equal Yes No No M M Global
184 vy Bridge Same M_F Less Work Middle Middle Middle Middle Lower Yes Yes Yes M F Global
185 ty Bridge Younger M_M Equal Work Middle Middle Old Middle Equal Yes Yes Yes M M Global
186 ty Bridge Same M_M Equal Work Middle Middle Middle Middle Equal Yes Yes Yes M M Global
187 ty Bridge Same M_M Equal Work Middle Middle Middle Middle Equal Yes Yes Yes M M Global
188 ty Bridge Older M_M Equal Work Middle Middle Middle Old Equal Yes Yes Yes M M Global
189 vy Bridge Older M_M Greater Work Middle Middle Young Middle Higher Yes No Yes M M Global
190 ty Bridge Younger M_M Greater Work Middle Middle Middle Young Lower Yes No Yes M M Global
191 ty Bridge Same M_F Less Fam Middle Middle Middle Middle Equal Yes Yes No M F Global
192 ty Bridge Same F_M Greater Fam Middle Middle Middle Middle Equal Yes Yes No F M Global
193 ty Bridge Younger M_F Less Fam Middle Middle Middle Young Equal Yes Yes No M F Global
194 vy Bridge Older M_M Equal Work Middle Middle Middle Middle Lower Yes No Yes M M Global
195 vy Bridge Younger M_M Equal Work Middle Middle Middle Middle Higher Yes No Yes M M Global
196 vy Bridge Younger M_M Less Work Middle Middle Middle Young Lower Yes Yes Yes M M Global
197 ty Bridge Same M_M Equal Work Middle Middle Young Young Equal Yes Yes No M M Global
198 vy Bridge Younger M_M Less Work Middle Middle Old Middle Equal Yes Yes Yes M M Global
199 vy Bridge Same M_M Equal Str Middle Middle Middle Middle Equal Yes No No M M Global
200 vy Bridge Same M_M Equal Str Middle Middle Middle Middle Equal Yes No No M M Global
201 ty Bridge Younger M_M Less Fam Middle Middle Middle Child Equal Yes No No M M Global
202 ty Bridge Older M_M Greater Fam Middle Middle Child Middle Equal Yes No No M M Global
203 vy Bridge Older M_F Equal Work Middle Middle Middle Old Equal Yes Yes No M F Global
204 vy Bridge Younger F_M Equal Work Middle Middle Old Middle Equal Yes Yes No F M Global
205 vy Bridge Same M_M Equal Str Middle Middle Middle Middle Higher Yes Yes Yes M M Global
206 vy Bridge Same M_M Equal Str Middle Middle Middle Middle Higher Yes Yes No M M Global
207 vy Bridge Same M_M Equal Str Middle Middle Middle Middle Lower Yes Yes No M M Global
208 vy Bridge Older M_M Greater Str Middle Middle Middle Old Higher Yes Yes Yes M M Global
209 vy Bridge Younger M_M Less Str Middle Middle Old Middle Lower Yes Yes Yes M M Global
210 vy Bridge Younger F_M Equal Str Middle Middle Middle Middle Higher Yes Yes Yes F M Global
211 vy Bridge Same M_M Equal Str Middle Upper Middle Middle Higher Yes Yes Yes M M Global
212 vy Bridge Same M_M Equal Str Upper Middle Middle Middle Lower Yes No Yes M M Global
213 vy Bridge Same M_M Equal Str Upper Middle Middle Middle Lower Yes No Yes M M Global
214 ty Bridge Younger M_M Less Acq Middle Middle Middle Young Equal Yes Yes Yes M M Global
215 vy Bridge Older M_M Less Str Middle Middle Middle Old Lower Yes Yes Yes M M Global
216 vy Bridge Younger M_M Greater Str Middle Middle Old Middle Higher Yes Yes Yes M M Global
217 vy Bridge Older M_M Less Str Middle Middle Young Middle Higher Yes Yes No M M Global
218 vy Bridge Younger M_M Less Str Upper Middle Middle Middle Lower Yes Yes Yes M M Global
220 vy Bridge Younger M_M Equal Str Middle Middle Middle Young Lower Yes No Yes M M Global
221 ty SPECTRE Older F_M Equal Rom Middle Middle Middle Middle Equal No No No F M Global
222 vy SPECTRE Younger M_M Less Work Upper Middle Middle Middle Lower No No Yes M M Global
223 vy SPECTRE Older M_M Greater Work Middle Upper Middle Middle Higher No No Yes M M Global
224 vy SPECTRE Older M_M Less Work Upper Middle Middle Middle Lower No Yes Yes M M Global
225 vy SPECTRE Younger M_M Greater Work Middle Upper Middle Middle Higher No Yes Yes M M Global
226 ty SPECTRE Younger M_F Equal Work Middle Middle Middle Middle Equal No No Yes M F Global
227 ty SPECTRE Older F_M Equal Work Middle Middle Middle Middle Equal No No Yes F M Global
228 vy SPECTRE Same M_M Equal Work Middle Middle Middle Middle Equal No No No M M Global
229 vy SPECTRE Older M_M Equal Work Middle Middle Middle Middle Equal No Yes Yes M M Global
230 ty SPECTRE Younger M_M Equal Work Middle Middle Middle Middle Equal No Yes Yes M M Global
231 vy SPECTRE Same F_M Equal Str Middle Middle Middle Middle Equal No No No F M Global
232 vy SPECTRE Same M_F Equal Str Middle Middle Middle Middle Equal No No No M F Global
233 vy SPECTRE Same M_M Less Work Other Other Middle Middle Other No Yes Yes M M Global
234 ty SPECTRE Younger M_M Less Work Upper Middle Middle Middle Lower No Yes Yes M M Global
235 vy SPECTRE Same M_M Less Acq Middle Other Middle Middle Other No No No M M Global
236 vy SPECTRE Same M_M Greater Acq Other Middle Middle Middle Other No No No M M Global
237 vy SPECTRE Younger M_M Equal Work Upper Upper Middle Middle Equal No No Yes M M Global
238 vy SPECTRE Older M_M Equal Work Upper Upper Middle Middle Equal No No Yes M M Global
239 vy SPECTRE Older F_M Equal Str Middle Middle Middle Middle Equal No No Yes F M Global
240 vy SPECTRE Younger M_F Equal Str Middle Middle Middle Middle Equal No No Yes M F Global
241 vy SPECTRE Younger M_F Less Str Other Middle Middle Middle Other No Yes Yes M F Global
242 ty SPECTRE Same M_M Less Fam Other Middle Middle Middle Other No Yes Yes M M Global
243 ty SPECTRE Same M_M Greater Fam Middle Other Middle Middle Other No Yes Yes M M Global
